"TOA5","CR3000_flume","CR3000","5362","CR3000.Std.29","CPU:CR3000Flume.CR3","53051","Table1"
"TIMESTAMP","RECORD","VWC_S2_2","Temp_S2_2","VWC_S2_1","Temp_S2_1","VWC_S3_8","Temp_S3_8","VWC_S3_7","Temp_S3_7","VW_S3_4_Avg","PA_uS_S3_4_Avg","VW_S3_5_Avg","PA_uS_S3_5_Avg","VW_S4_2_Avg","PA_uS_S4_2_Avg","VW_S4_3_Avg","PA_uS_S4_3_Avg","VW_S4_4_Avg","PA_uS_S4_4_Avg","VW_S4_5_Avg","PA_uS_S4_5_Avg","VW_S4_6_Avg","PA_uS_S4_6_Avg","VW_S4_7_Avg","PA_uS_S4_7_Avg","VW_S4_8_Avg","PA_uS_S4_8_Avg","VWC_S3_4","T_S3_4","VW_S3_6_Avg","PA_uS_S3_6_Avg"
"TS","RN","%","DegC","%","DegC","%","DegC","%","DegC","","uSec","","uSec","","uSec","","uSec","","uSec","","uSec","","uSec","","uSec","","uSec","m^3/m^3","Deg C","","uSec"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp","Smp","Avg","Avg"
"2017-08-22 11:48:45",18,35.48,13.7,39.05,13.67,2.14,14.29,6.59,14.08,0.022,16.63,0.014,16.13,0.119,21.37,0.101,20.6,0.042,17.75,0.021,16.53,0.016,16.27,0.01,15.88,0.002,15.37,"NAN","NAN","NAN","NAN"
"2017-08-22 11:48:50",19,35.31,13.72,38.93,13.64,2.14,14.29,6.59,14.05,0.022,16.63,0.014,16.13,0.119,21.36,0.101,20.59,0.042,17.75,0.021,16.52,0.016,16.27,0.01,15.88,0.002,15.37,"NAN","NAN","NAN","NAN"
"2017-08-22 11:48:55",20,35.43,13.7,38.93,13.67,2.14,14.29,6.59,14.08,0.022,16.63,0.014,16.13,0.119,21.36,0.101,20.6,0.042,17.75,0.021,16.53,0.016,16.27,0.01,15.88,0.002,15.37,"NAN","NAN","NAN","NAN"
"2017-08-22 11:49:00",21,35.31,13.7,39.05,13.62,2.26,14.29,6.59,14.08,0.022,16.63,0.014,16.13,0.119,21.36,0.101,20.59,0.042,17.75,0.021,16.52,0.016,16.27,0.01,15.88,0.002,15.37,"NAN","NAN","NAN","NAN"
"2017-08-22 11:49:05",22,35.43,13.7,39.05,13.7,2.32,14.29,6.53,14.08,0.023,16.64,0.014,16.13,0.119,21.36,0.101,20.59,0.042,17.75,0.021,16.53,0.016,16.26,0.01,15.88,0.002,15.37,0.147,13.63,"NAN","NAN"
"2017-08-22 11:49:10",23,35.31,13.67,39.11,13.67,2.14,14.29,6.53,14.08,0.022,16.63,0.014,16.13,0.119,21.36,0.101,20.59,0.042,17.75,0.021,16.52,0.016,16.27,0.01,15.88,0.002,15.37,"NAN","NAN","NAN","NAN"
"2017-08-22 11:49:15",24,35.43,13.72,39.05,13.67,2.14,14.31,6.59,14.08,0.022,16.63,0.014,16.13,0.119,21.36,0.101,20.59,0.042,17.75,0.021,16.53,0.016,16.27,0.01,15.88,"NAN","NAN","NAN","NAN","NAN","NAN"
"2017-08-22 11:49:20",25,35.48,13.7,"NAN","NAN","NAN","NAN","NAN","NAN",0.022,16.63,0.014,16.13,0.119,21.36,0.101,20.6,0.042,17.75,0.021,16.52,0.016,16.27,0.01,15.88,"NAN","NAN","NAN","NAN","NAN","NAN"
"2017-08-22 11:49:25",26,35.48,13.7,38.99,13.7,2.26,14.29,6.53,14.08,0.022,16.63,0.014,16.13,0.119,21.36,0.101,20.59,0.042,17.75,0.021,16.53,0.016,16.27,0.01,15.88,"NAN","NAN",0.147,13.61,"NAN","NAN"
"2017-08-22 11:49:30",27,35.43,13.67,39.05,13.67,2.26,14.29,6.65,14.08,0.023,16.64,0.014,16.13,0.119,21.36,0.101,20.6,0.042,17.75,0.021,16.53,0.016,16.26,0.01,15.88,0.002,15.37,0.147,13.63,"NAN","NAN"
